platform,source_id,comment_id,author,text,preprocessed,rule_hits,semantic_score,perspective_sexual,final_score,classification,likeCount,publishedAt
youtube,FpsCzFGL1LE,Ugxt7-g2Ktd62bRKlhl4AaABAg,@shake244,"Verdade, Felca sou seu novo fã❤.",verdade felcar novo fã ❤,,0.5816104412078857,,0.6,atencao,0,2025-08-15T03:37:13Z
youtube,FpsCzFGL1LE,UgxrFIz49VPHlCoR4tF4AaABAg,@anaaninha8131,"Eu com 13 anos, juntava caixinha de fósforo e colava umas nas outras para fazer sofá, mesinha, fogão e brincava de casinha.",13 ano juntar caixinhar fósforo colar em o outro fazer sofá mesinha fogão brincar casinha,REGEX:age_10_17,0.32657670974731445,,0.6,atencao,1,2025-08-15T03:36:04Z
youtube,FpsCzFGL1LE,UgwxjVuX4quJpYJGWU14AaABAg,@oceudaobra,"É bizarro pensar que precisou o Felca, um cara do humor, fazer esse vídeo pra muita gente ""cair na real"" sobre a gravidade da adultização e da exploração infantil. O mais louco é ver a repercussão, com políticos se movendo e o assunto explodindo em todas as redes. Que esse vídeo seja o começo de uma mudança real e não só um hype passageiro. Estamos de olho.",bizarro pensar precisar felcar cara de o humor fazer vídeo pra gente cair em o real sobre gravidade de o adultização de o exploração infantil louco ver repercussão político mover assunto explodir todo rede vídeo começo mudança real hype passageiro olho,KW:exploração infantil,0.3464004397392273,,0.6,atencao,1,2025-08-15T03:35:09Z
youtube,FpsCzFGL1LE,Ugw2Th5XVDRSVzL3Rjl4AaABAg,@mazusonolenta,BIZARRO!!,bizarro,,0.579521894454956,,0.6,atencao,0,2025-08-15T03:34:57Z
youtube,FpsCzFGL1LE,UgyIKrg2G_jrNGrcJ1F4AaABAg,@mazusonolenta,Meudeus...,meudeu,,0.5952857136726379,,0.6,atencao,0,2025-08-15T03:34:49Z
youtube,FpsCzFGL1LE,UgyuRr8mPIeUz3sJwIB4AaABAg,@fabiodecarvalho9418,"Valeu, meu mano!",valer mano,,0.6143167614936829,,0.6,atencao,0,2025-08-15T03:25:53Z
youtube,FpsCzFGL1LE,UgxajlVKMrnBmkOzY3x4AaABAg,@EloisaOliveira-wi9wu,"Felca, o que vc acha sobre a conta da @neafeas?",felcar vc achar sobre conta de o,,0.5964583158493042,,0.6,atencao,0,2025-08-15T03:25:11Z
youtube,FpsCzFGL1LE,UgytOkLZVLXIHgpQPMl4AaABAg,@ThaianyQuintanilhadaCosta,👏🏽👏🏽,👏 🏽 👏 🏽,,0.6015918850898743,,0.6,atencao,0,2025-08-15T03:22:24Z
youtube,FpsCzFGL1LE,UgwgjrjbAPXzqMqPfWl4AaABAg,@wellingtoncoutinho127,👏🏻,👏 🏻,,0.6059126257896423,,0.6,atencao,0,2025-08-15T03:21:33Z
youtube,FpsCzFGL1LE,UgxPIODTW36PnP05sa14AaABAg,@marcos2vkhM00bvcvxvbcx54,Mais isso tudo que vc está denunciado a mídia de tv aberta já fazia e cadê vcs pra reclamar eu falar algo contra a mídia fez toda essa putaria  o primeiro programa foi a Xuxa na globo  e vc vc deve se lembra do É o tchan com dança com criança menos de 12 anos e essas criança dançava na boca da garrafa e os mamonas assassinas com  as músicas pornografa com pura putaria nas várias emissora  isso em horário nobre se eu e outra sem falar não novelas de pura putaria também e vc vem falar de mídia de internet vc deve se doido e nossos governantes não viram isso vc só está falando hipocrisia pura a putaria já está aí a muito tempo e sem fala músicas e  letras nojentas  da Anita a mídia aberta faz tudo isso destruindo as inocência da criança,tudo vc denunciado mídia tv abrir fazer cadê vcs pra reclamar falar algo contra mídia fazer todo putario primeiro programa xuxa em o globo vc vc dever lembrar de o tchan dança criança menos 12 ano criança dançar em o boca de o garrafa mamona assassino música pornografar puro putario em o várias emissora horário nobre outro falar novelas puro putar vc vir falar mídia Internet vc dever doir governante ver vc falar hipocrisia puro putar aí tempo falar música letra nojento de o anita mídia abrir fazer tudo destruir inocência de o criança,REGEX:age_10_17,0.35591036081314087,,0.6,atencao,0,2025-08-15T03:20:53Z
