platform,comment
twitter,"Richarlison durante coletiva: “I speak english my friend” KKKKKKKKKKKKKKKKK
 
x.com/l7ney/status/1
…"
twitter,BRASIL: Foto de estudantes de uma escola pública de Belém mostrando resultado das notas na Redação do ENEM 2022 viraliza na web.
twitter,"HISTÓRICO: Presidente Lula em uma cena RARA de mãos dadas com os 27 governadores do Brasil em união, indo ao STF em defesa da DEMOCRACIA."
twitter,PARABÉNS: Menino inglês nascido às 11h11 de 11 de novembro de 2011 está completando hoje (11/11) 11 anos!
twitter,BRASIL: Família corre após ver testemunhas de Jeová se aproximando do portão de casa.
twitter,"SURPRESA: A Correspondente da Choquei acaba de desembarcar em Doha, para Copa do Mundo do Qatar."
