platform,comment
twitter,tatuaram eu com a base da virginia 
twitter,meu penis é grande dms q saco
twitter,"“quem n chora n mama”
eu: "
twitter,
twitter,po coitado dos coreano agr bateu uma dó :/
twitter,"peito, peito, peito, peito"
