platform,comment
twitter,"Wow, Google has a search ban on President Donald Trump! 

Election interference?"
twitter,Halloween with my Mom
twitter,El burro sabe mas que Maduro
twitter,"I regret some of my posts about President 
@realDonaldTrump
 last week. They went too far."
